北官厅胡同,东城,2室1厅,60.35,简装,中楼层,1988年建板楼,南 北,房屋满五年-近地铁
青年湖东里,东城,3室1厅,67.55,简装,中楼层,板楼,南 北,无标签
外交部街,东城,2室1厅,67.42,简装,高楼层,板楼,南 北,房屋满五年-近地铁
新裕家园,东城,1室1厅,76.76,简装,高楼层,2004年建板楼,南,房屋满五年-近地铁
忠实里,东城,3室1厅,67.84,精装,中楼层,板塔结合,西南,房屋满五年
柏林寺西,东城,2室1厅,58.45,简装,中楼层,塔楼,南,房屋满五年-近地铁
华龙美晟,东城,2室1厅,95.69,简装,底层,2009年建板塔结合,东,房屋满五年
安贞苑50号院,东城,2室1厅,65.82,精装,高楼层,1996年建板楼,南 北,房屋满五年-近地铁
中海紫御公馆,东城,2室1厅,92.25,精装,低楼层,2010年建板塔结合,南 北 西,房屋满五年-近地铁
青年湖北里,东城,3室1厅,66.95,简装,中楼层,板楼,南 北,房屋满五年-近地铁
地坛北里,东城,2室1厅,50.2,简装,中楼层,1989年建板楼,南 北,房屋满五年-近地铁
民安小区东直门北中街,东城,2室1厅,60.2,精装,低楼层,1988年建板楼,东 西,房屋满五年
建国门内大街,东城,1室1厅,48.82,简装,高楼层,1992年建板楼,东,房屋满五年
板厂南里,东城,3室1厅,73.32,简装,底层,1980年建板楼,东 西,无标签
景泰西里,东城,2室1厅,57.72,精装,底层,1983年建板楼,南 北,近地铁
花市东三条,东城,2室1厅,36.48,精装,中楼层,1987年建板楼,南,房屋满五年
广渠家园,东城,2室1厅,71.54,精装,高楼层,2009年建板塔结合,东,房屋满五年-近地铁
左安浦园,东城,1室1厅,67.94,精装,中楼层,2004年建板楼,西,房屋满五年-近地铁
广渠家园,东城,2室2厅,71.54,精装,高楼层,2009年建板塔结合,东,房屋满五年-近地铁
禄米仓胡同,东城,2室1厅,73.6,简装,底层,2003年建板楼,东 西,房屋满五年-近地铁
北官厅胡同甲二号院,东城,3室1厅,77.54,精装,高楼层,1993年建板楼,南 北,房屋满五年
天坛东里南区,东城,3室1厅,69.15,简装,中楼层,1980年建板楼,南 北,房屋满两年-近地铁
绿景苑,东城,2室1厅,75.24,精装,低楼层,2002年建塔楼,南,房屋满五年
普渡寺前巷,东城,2室1厅,70.17,其他,底层,平房,北,房屋满五年-近地铁
青年湖北街,东城,3室1厅,81.61,精装,高楼层,塔楼,东 南 西 北,房屋满五年
长青园,东城,1室1厅,48.91,简装,底层,1995年建板楼,南 东,近地铁
定安里,东城,3室1厅,62.97,精装,中楼层,1983年建板楼,南 北,房屋满两年-近地铁
和平里五区,东城,1室1厅,40.57,精装,顶层,1996年建板楼,西南,房屋满五年-近地铁
元嘉国际公寓,东城,1室0厅,47.45,精装,中楼层,2003年建塔楼,西,房屋满两年
金桥国际,东城,1室1厅,54.19,简装,中楼层,2004年建塔楼,西,房屋满五年-近地铁
西革新里110号院,东城,1室1厅,42.32,精装,底层,1992年建板楼,南,房屋满两年-近地铁
后芳嘉园胡同,东城,2室1厅,51.8,其他,中楼层,2003年建板楼,南 北,房屋满五年-近地铁
东花市北里东区,东城,2室1厅,76.19,精装,中楼层,1992年建板楼,南 北,房屋满五年
天坛公馆,东城,4室2厅,238.29,精装,低楼层,2003年建板楼,南 北,房屋满五年
幸福家园一期,东城,3室1厅,109.98,精装,低楼层,板塔结合,南 北,房屋满五年-近地铁
百荣嘉园,东城,1室1厅,45.3,简装,中楼层,板塔结合,南,近地铁
新中西里,东城,1室1厅,38.3,简装,中楼层,1985年建板楼,南,房屋满五年-近地铁
