自由季,东城,整租,6100,56.51,2房间,东城-广渠门-自由季,东南,近地铁-精装-集中供暖-随时看房
东直门南大街,东城,整租,8300,68.90,2室1厅,东城-东直门-东直门南大街,西,官方核验-近地铁-精装-集中供暖
东直门北大街,东城,整租,6300,48.26,1室1厅,东城-东直门-东直门北大街,东,近地铁-集中供暖-随时看房
建国门内大街,东城,整租,15000,93.58,2室1厅,东城-建国门外-建国门内大街,南/北,精装-集中供暖
长青园,东城,整租,7500,79.00,3室1厅,东城-左安门-长青园,南/北,近地铁-精装-集中供暖-双卫生间
青龙胡同,东城,整租,5300,31.00,1室1厅,东城-东直门-青龙胡同,北,集中供暖-随时看房
胜古中路1号院,东城,整租,28000,226.39,5室2厅,东城-安贞-胜古中路1号院,东/西,近地铁-精装-集中供暖
察慈小区,东城,整租,8500,74.00,2室1厅,东城-东直门-察慈小区,南,新上-近地铁-精装-集中供暖-随时看房
禄米仓胡同71号院,东城,整租,9000,52.74,2室1厅,东城-朝阳门内-禄米仓胡同71号院,南/北,官方核验-精装-集中供暖-随时看房
左安漪园,东城,整租,11500,112.00,3室1厅,东城-左安门-左安漪园,西,官方核验-业主自荐-近地铁-精装-集中供暖-随时看房
和平里五区,东城,整租,6000,55.12,2室1厅,东城-和平里-和平里五区,南/北,近地铁-集中供暖
豆瓣胡同,东城,整租,7500,56.00,1室1厅,东城-朝阳门内-豆瓣胡同,东/北,近地铁-精装
和平里六区,东城,整租,7100,47.75,1室1厅,东城-和平里-和平里六区,南,近地铁-精装-集中供暖-随时看房
法华南里,东城,整租,5700,48.00,1室1厅,东城-崇文门-法华南里,东,近地铁-精装-集中供暖-随时看房
安德路47号院,东城,整租,6800,58.00,2室1厅,东城-安定门-安德路47号院,南/北,近地铁-集中供暖-随时看房
冠城名敦道A区,东城,整租,10050,84.88,1室1厅,东城-广渠门-冠城名敦道A区,南/西,精装-集中供暖-随时看房
东直门南大街,东城,整租,7200,58.00,2室1厅,东城-东直门-东直门南大街,东北,官方核验-近地铁-集中供暖-随时看房
香河园北里,东城,整租,6900,68.11,2室1厅,东城-东直门-香河园北里,东/西,集中供暖
景泰西里西区,东城,整租,7000,76.92,2室1厅,东城-永定门-景泰西里西区,南/北,近地铁-精装-随时看房
胡家园小区,东城,整租,6900,53.00,2室1厅,东城-东直门-胡家园小区,东/南,官方核验-近地铁-集中供暖-随时看房
金桥国际,东城,整租,6800,63.79,1室1厅,东城-广渠门-金桥国际,西,官方核验-业主自荐-新上-近地铁-精装-集中供暖
前门东大街,东城,整租,9000,58.55,3室0厅,东城-前门-前门东大街,南/北,官方核验-业主自荐-近地铁-精装-集中供暖
和平里五区,东城,整租,5100,41.00,1室1厅,东城-和平里-和平里五区,东南,官方核验-近地铁-集中供暖-随时看房
东直门南大街,东城,整租,7500,60.00,2室1厅,东城-东直门-东直门南大街,南/西南,官方核验-业主自荐-近地铁-精装-集中供暖
朝阳门南小街,东城,整租,7500,63.76,1室1厅,东城-朝阳门内-朝阳门南小街,西北,官方核验-近地铁-精装-随时看房
东总布胡同19号院,东城,整租,7800,72.00,2室1厅,东城-建国门内-东总布胡同19号院,南,新上-近地铁-精装-集中供暖-随时看房
百荣嘉园,东城,整租,6120,66.76,2室1厅,东城-永定门-百荣嘉园,西南,新上-近地铁-集中供暖-随时看房
崇文门西大街,东城,整租,8400,66.31,2室1厅,东城-崇文门-崇文门西大街,南/北,官方核验-精装-集中供暖
大龙公寓,东城,整租,11000,85.54,2室1厅,东城-安贞-大龙公寓,东/南,近地铁-精装-集中供暖-双卫生间-随时看房
京城仁合,东城,整租,14500,125.48,2室2厅,东城-广渠门-京城仁合,南/北,近地铁-精装-集中供暖-双卫生间
梵悦万国府,东城,整租,70000,196.00,3室2厅,东城-东直门-梵悦万国府,东/南,精装-集中供暖
兴化西里,东城,整租,6700,58.58,1室1厅,东城-和平里-兴化西里,东/西,官方核验-近地铁-集中供暖-随时看房
仓南胡同12号院,东城,整租,6300,42.44,1室1厅,东城-朝阳门内-仓南胡同12号院,南,近地铁-精装-集中供暖
朝阳门内大街,东城,整租,7600,49.72,1室1厅,东城-朝阳门内-朝阳门内大街,东,近地铁-精装-集中供暖-随时看房
东直门北大街,东城,整租,7500,61.39,2室1厅,东城-东直门-东直门北大街,东,新上-近地铁-集中供暖-随时看房
左安浦园,东城,整租,5800,50.00,1室1厅,东城-左安门-左安浦园,北,近地铁-精装-随时看房
幸福北里,东城,整租,6400,50.76,2室1厅,东城-广渠门-幸福北里,东,精装-集中供暖-随时看房
广渠家园,东城,整租,6700,67.00,2室1厅,东城-广渠门-广渠家园,东,官方核验-近地铁-精装-集中供暖-随时看房
国瑞城西区,东城,整租,15000,114.86,1室1厅,东城-崇文门-国瑞城西区,西,官方核验-近地铁-精装-集中供暖-双卫生间
安外大街80号院,东城,整租,6400,55.16,2室1厅,东城-和平里-安外大街80号院,东/西,近地铁-集中供暖-随时看房
金桥国际,东城,整租,10800,89.49,2室1厅,东城-广渠门-金桥国际,南,近地铁-集中供暖
龙潭西里,东城,整租,5100,43.00,1室1厅,东城-左安门-龙潭西里,西北,官方核验-近地铁-随时看房
民安小区东直门北中街,东城,整租,9200,78.01,2室1厅,东城-东直门-民安小区东直门北中街,东/西,精装-集中供暖
胡家园小区,东城,整租,9000,65.00,2室1厅,东城-东直门-胡家园小区,西,近地铁-精装-集中供暖-随时看房
国瑞城中区,东城,整租,20000,92.00,3室1厅,东城-崇文门-国瑞城中区,东/南,近地铁-精装-集中供暖
双玉中街43号院,东城,整租,6600,61.22,2室1厅,东城-左安门-双玉中街43号院,南/北,官方核验-近地铁-集中供暖
双玉中街43号院,东城,整租,6600,61.22,2室1厅,东城-左安门-双玉中街43号院,南/北,官方核验-近地铁-集中供暖
法华南里,东城,整租,6000,47.56,1室0厅,东城-崇文门-法华南里,东,精装-集中供暖
南门仓胡同,东城,整租,15500,86.00,3室1厅,东城-朝阳门内-南门仓胡同,南/北,精装-集中供暖-随时看房
朗家胡同13号院,东城,整租,9800,67.34,3室1厅,东城-安定门-朗家胡同13号院,南/北,近地铁-精装-集中供暖-双卫生间-随时看房
青年湖北街,东城,整租,10300,82.00,2室1厅,东城-安定门-青年湖北街,东北,近地铁-集中供暖-随时看房
海晟名苑北区,东城,整租,11100,70.13,1室1厅,东城-工体-海晟名苑北区,东/南,近地铁-精装-集中供暖-随时看房
东直门南大街,东城,整租,7000,39.93,1室1厅,东城-东直门-东直门南大街,西,官方核验-近地铁-精装-集中供暖-随时看房
水上华城,东城,整租,13000,146.01,3室2厅,东城-广渠门-水上华城,东南,精装-集中供暖-双卫生间-随时看房
百荣嘉园,东城,整租,6200,71.00,2室1厅,东城-永定门-百荣嘉园,东南,近地铁-集中供暖-随时看房
建国门北大街,东城,整租,9180,75.10,2室1厅,东城-建国门内-建国门北大街,东南,新上-近地铁-精装-集中供暖-随时看房
东直门南大街,东城,整租,7400,42.02,1室1厅,东城-东直门-东直门南大街,东,官方核验-近地铁-精装-集中供暖-随时看房
东四十条,东城,整租,3200,48.00,1室1厅,东城-东四-东四十条,北,近地铁-精装-集中供暖-随时看房
玉石胡同,东城,整租,5100,55.75,2室1厅,东城-灯市口-玉石胡同,南/北,近地铁-精装-集中供暖-随时看房
崇文门西大街,东城,整租,9500,70.00,3室1厅,东城-崇文门-崇文门西大街,南/北,精装-集中供暖-随时看房
龙潭北里,东城,整租,18000,166.00,4室2厅,东城-左安门-龙潭北里,南/西/北,精装-双卫生间
前门东大街,东城,整租,6000,40.00,1室0厅,东城-前门-前门东大街,北,近地铁-精装-集中供暖-随时看房
安德路55号院,东城,整租,7000,74.00,2室1厅,东城-安定门-安德路55号院,南/北,官方核验-近地铁-集中供暖-随时看房
花市枣苑三期,东城,整租,18000,140.00,3室2厅,东城-东花市-花市枣苑三期,南/北,官方核验-精装-双卫生间
法华南里,东城,整租,7500,65.00,2室1厅,东城-崇文门-法华南里,东/西,官方核验-近地铁-精装-集中供暖-随时看房
北下洼子胡同,东城,整租,6500,20.00,1室0厅,东城-地安门-北下洼子胡同,南,官方核验-精装-随时看房
大方家胡同,东城,整租,7500,52.00,2室0厅,东城-朝阳门内-大方家胡同,东/西,近地铁-精装-集中供暖-随时看房
东花市北里西区,东城,整租,13000,132.00,2室1厅,东城-东花市-东花市北里西区,南/北,官方核验-精装-集中供暖-双卫生间-随时看房
光明西里,东城,整租,4900,40.92,1室1厅,东城-广渠门-光明西里,南,精装-集中供暖-随时看房
金世纪嘉园,东城,整租,7100,65.60,2室1厅,东城-广渠门-金世纪嘉园,北,精装-集中供暖-随时看房
左安漪园,东城,整租,15500,139.00,3室2厅,东城-左安门-左安漪园,东/北,官方核验-近地铁-精装-集中供暖-随时看房
兴隆都市馨园,东城,整租,12500,105.20,3室2厅,东城-崇文门-兴隆都市馨园,复式,近地铁-精装-双卫生间-随时看房
左安浦园,东城,整租,7500,78.00,2室1厅,东城-左安门-左安浦园,东,近地铁-精装-随时看房
和平里五区,东城,整租,6200,40.57,1室1厅,东城-和平里-和平里五区,西南,近地铁-精装-集中供暖-随时看房
东直门内北小街2号院,东城,整租,13000,156.00,2室2厅,东城-东直门-东直门内北小街2号院,西/北,近地铁-双卫生间-随时看房
东总布胡同,东城,整租,12000,73.59,3室1厅,东城-建国门内-东总布胡同,南/北,近地铁-精装-集中供暖-随时看房
东直门北大街,东城,整租,7200,62.98,2室1厅,东城-东直门-东直门北大街,东/西,官方核验-近地铁-精装-集中供暖-随时看房
兴隆都市馨园,东城,整租,12500,105.20,3室2厅,东城-崇文门-兴隆都市馨园,复式,近地铁-精装-双卫生间-随时看房
左安浦园,东城,整租,7500,78.00,2室1厅,东城-左安门-左安浦园,东,近地铁-精装-随时看房
东总布胡同,东城,整租,12000,73.59,3室1厅,东城-建国门内-东总布胡同,南/北,近地铁-精装-集中供暖-随时看房
西总布胡同55号院,东城,整租,6500,39.00,1室1厅,东城-建国门内-西总布胡同55号院,南,近地铁-精装-集中供暖-随时看房
北官厅胡同,东城,整租,6100,44.67,1室1厅,东城-东直门-北官厅胡同,南,近地铁-精装-集中供暖-随时看房
郭庄北里,东城,整租,4200,41.00,1室1厅,东城-永定门-郭庄北里,南,官方核验-近地铁-集中供暖
天坛东里中区,东城,整租,5100,48.99,2室1厅,东城-天坛-天坛东里中区,东/西,官方核验-集中供暖-随时看房
